iter	Passed	Remaining
0	57	57736
1	58	29077
2	58	19520
3	59	14748
4	59	11868
5	60	9944
6	60	8568
7	61	7574
8	61	6768
9	61	6121
10	62	5588
11	62	5150
12	62	4774
13	63	4452
14	63	4180
15	64	3941
16	64	3726
17	64	3537
18	65	3366
19	65	3211
20	66	3077
21	66	2951
22	66	2835
23	67	2730
24	67	2632
25	67	2546
26	68	2467
27	68	2390
28	69	2317
29	69	2251
30	70	2188
31	70	2128
32	70	2071
33	71	2017
34	71	1970
35	71	1923
36	72	1879
37	72	1837
38	73	1799
39	73	1766
40	74	1733
41	74	1704
42	75	1671
43	75	1639
44	75	1610
45	76	1585
46	76	1560
47	77	1533
48	77	1513
49	78	1489
50	78	1464
51	79	1442
52	79	1422
53	80	1407
54	80	1389
55	81	1371
56	81	1353
57	82	1334
58	82	1321
59	83	1304
60	83	1290
61	84	1274
62	84	1259
63	85	1244
64	85	1231
65	86	1219
66	86	1204
67	87	1194
68	87	1181
69	87	1167
70	88	1154
71	88	1142
72	89	1131
73	89	1121
74	90	1110
75	90	1101
76	91	1093
77	91	1085
78	92	1077
79	92	1067
80	93	1058
81	93	1049
82	94	1040
83	94	1031
84	95	1023
85	95	1015
86	95	1005
87	96	997
88	96	990
89	97	982
90	97	977
91	98	971
92	98	963
93	99	958
94	99	951
95	100	944
96	100	937
97	101	930
98	101	925
99	102	918
100	102	911
101	102	905
102	103	904
103	104	898
104	104	892
105	105	887
106	105	881
107	106	875
108	106	869
109	106	863
110	107	859
111	107	854
112	108	848
113	108	842
114	108	837
115	109	832
116	109	825
117	109	820
118	110	815
119	110	810
120	110	805
121	111	801
122	111	796
123	112	792
124	112	787
125	112	783
126	113	778
127	113	774
128	114	770
129	114	767
130	115	764
131	115	760
132	115	756
133	116	752
134	116	748
135	117	744
136	117	740
137	118	737
138	118	733
139	118	729
140	119	725
141	119	721
142	119	717
143	119	713
144	120	709
145	120	705
146	121	702
147	121	698
148	121	695
149	122	691
150	122	689
151	122	685
152	123	682
153	123	679
154	124	676
155	124	673
156	125	671
157	125	668
158	125	665
159	126	662
160	126	658
161	126	655
162	127	653
163	127	650
164	127	647
165	128	644
166	128	641
167	129	640
168	129	637
169	130	634
170	130	632
171	130	629
172	131	627
173	131	624
174	132	622
175	132	619
176	132	618
177	133	615
178	133	613
179	134	610
180	134	608
181	134	605
182	135	603
183	135	601
184	135	599
185	136	596
186	136	594
187	137	592
188	137	590
189	137	587
190	138	585
191	138	584
192	139	581
193	139	579
194	139	577
195	140	575
196	140	573
197	141	571
198	141	569
199	141	567
200	142	565
201	142	563
202	143	561
203	143	559
204	143	558
205	144	556
206	144	554
207	145	552
208	145	551
209	146	549
210	146	548
211	146	546
212	147	544
213	147	542
214	148	540
215	148	539
216	148	537
217	149	535
218	149	533
219	149	531
220	150	529
221	150	527
222	151	526
223	151	524
224	151	522
225	152	521
226	152	519
227	152	517
228	153	516
229	153	514
230	153	512
231	154	510
232	154	509
233	155	508
234	155	506
235	156	505
236	156	503
237	156	502
238	157	500
239	157	499
240	157	497
241	158	496
242	158	494
243	159	493
244	159	492
245	160	490
246	160	489
247	160	488
248	161	487
249	161	485
250	162	484
251	162	483
252	163	481
253	163	480
254	163	478
255	164	477
256	164	475
257	165	475
258	165	473
259	165	472
260	166	471
261	166	470
262	167	468
263	167	467
264	168	466
265	168	464
266	168	463
267	169	461
268	169	460
269	169	459
270	170	457
271	170	456
272	170	455
273	171	454
274	171	453
275	172	451
276	172	450
277	173	449
278	173	448
279	173	447
280	174	445
281	174	444
282	174	443
283	175	441
284	175	440
285	176	439
286	176	438
287	177	437
288	177	436
289	177	435
290	178	434
291	178	433
292	179	431
293	179	431
294	179	429
295	180	428
296	180	427
297	180	426
298	181	425
299	181	424
300	182	423
301	182	422
302	183	421
303	183	420
304	184	419
305	184	418
306	184	416
307	185	416
308	185	414
309	186	414
310	186	413
311	187	412
312	187	411
313	188	411
314	188	410
315	189	409
316	189	408
317	189	407
318	190	406
319	190	404
320	191	404
321	191	403
322	191	402
323	192	401
324	192	400
325	193	399
326	193	398
327	193	397
328	194	396
329	194	395
330	195	394
331	195	393
332	195	392
333	196	391
334	196	390
335	196	389
336	197	388
337	197	387
338	198	386
339	198	385
340	199	384
341	199	383
342	199	383
343	200	382
344	200	381
345	201	380
346	201	379
347	202	378
348	202	377
349	203	377
350	203	376
351	203	374
352	204	374
353	204	373
354	204	372
355	205	371
356	205	370
357	206	369
358	206	368
359	206	367
360	207	366
361	207	366
362	208	365
363	208	364
364	208	363
365	209	362
366	209	361
367	209	360
368	210	359
369	210	358
370	210	357
371	211	356
372	211	355
373	212	354
374	212	354
375	212	353
376	213	352
377	213	351
378	213	350
379	214	349
380	214	348
381	215	347
382	215	346
383	215	346
384	216	345
385	216	344
386	217	344
387	217	343
388	218	342
389	218	341
390	218	340
391	219	340
392	219	339
393	220	338
394	220	337
395	221	337
396	221	336
397	221	335
398	222	334
399	222	334
400	223	333
401	223	332
402	224	331
403	224	331
404	224	330
405	225	329
406	225	328
407	226	327
408	226	327
409	226	326
410	227	325
411	227	324
412	227	323
413	228	323
414	228	322
415	228	321
416	229	320
417	229	319
418	230	319
419	230	318
420	230	317
421	231	316
422	231	315
423	231	315
424	232	314
425	232	313
426	233	312
427	233	311
428	233	311
429	234	310
430	234	309
431	235	309
432	235	308
433	235	307
434	236	306
435	236	306
436	236	305
437	237	304
438	237	303
439	238	303
440	238	302
441	238	301
442	239	300
443	239	299
444	239	299
445	240	298
446	240	297
447	240	296
448	241	296
449	241	295
450	242	294
451	242	293
452	242	293
453	243	292
454	243	291
455	244	291
456	244	290
457	245	290
458	245	289
459	245	288
460	246	287
461	246	287
462	246	286
463	247	285
464	247	284
465	248	284
466	248	283
467	248	282
468	249	282
469	249	281
470	250	280
471	250	280
472	250	279
473	251	278
474	251	278
475	252	277
476	252	277
477	253	276
478	253	275
479	254	275
480	254	274
481	254	273
482	255	273
483	255	272
484	256	271
485	256	271
486	256	270
487	257	269
488	257	269
489	257	268
490	258	267
491	258	266
492	258	266
493	259	265
494	259	264
495	260	264
496	260	263
497	260	262
498	261	262
499	261	261
500	261	260
501	262	260
502	262	259
503	263	258
504	263	258
505	263	257
506	264	256
507	264	256
508	264	255
509	265	254
510	265	254
511	266	253
512	266	253
513	266	252
514	267	251
515	267	251
516	268	250
517	268	250
518	269	249
519	269	248
520	270	248
521	270	247
522	271	247
523	271	246
524	271	245
525	272	245
526	272	244
527	273	244
528	273	243
529	273	242
530	274	242
531	274	241
532	274	240
533	275	240
534	275	239
535	276	239
536	276	238
537	276	237
538	277	237
539	278	237
540	278	236
541	279	235
542	279	235
543	279	234
544	280	233
545	280	233
546	281	233
547	282	232
548	282	232
549	283	231
550	283	231
551	283	230
552	284	229
553	284	229
554	284	228
555	285	227
556	285	227
557	286	226
558	286	226
559	287	225
560	287	224
561	287	224
562	288	223
563	288	223
564	289	222
565	289	221
566	289	221
567	290	220
568	290	220
569	290	219
570	291	218
571	291	218
572	291	217
573	292	216
574	292	216
575	293	215
576	293	215
577	293	214
578	294	213
579	294	213
580	294	212
581	295	212
582	295	211
583	296	210
584	296	210
585	296	209
586	297	209
587	297	208
588	298	207
589	298	207
590	299	206
591	300	206
592	300	206
593	300	205
594	301	204
595	301	204
596	301	203
597	302	203
598	302	202
599	302	201
600	303	201
601	303	200
602	303	200
603	304	199
604	304	198
605	304	198
606	305	197
607	305	197
608	305	196
609	306	195
610	306	195
611	306	194
612	307	194
613	307	193
614	308	192
615	308	192
616	308	191
617	309	191
618	309	190
619	309	189
620	310	189
621	310	188
622	311	188
623	311	187
624	312	187
625	312	186
626	312	186
627	313	185
628	313	184
629	313	184
630	314	183
631	314	183
632	315	182
633	315	182
634	316	181
635	316	181
636	316	180
637	317	180
638	317	179
639	318	178
640	318	178
641	318	177
642	319	177
643	319	176
644	320	176
645	320	175
646	320	175
647	321	174
648	321	173
649	321	173
650	322	172
651	322	172
652	323	171
653	323	171
654	323	170
655	324	170
656	324	169
657	324	168
658	325	168
659	325	167
660	326	167
661	326	166
662	326	166
663	327	165
664	327	164
665	327	164
666	328	163
667	328	163
668	329	162
669	329	162
670	330	161
671	330	161
672	330	160
673	331	160
674	331	159
675	331	159
676	332	158
677	332	157
678	332	157
679	333	156
680	333	156
681	334	155
682	334	155
683	334	154
684	335	154
685	335	153
686	336	153
687	336	152
688	336	152
689	337	151
690	337	150
691	337	150
692	338	149
693	338	149
694	339	148
695	339	148
696	339	147
697	340	147
698	340	146
699	340	146
